length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
1830000,1.31605e+06,1.1817e+06,1.53713e+06,3433379,3084164,4010590
1835000,1.24171e+06,1.1633e+06,1.29897e+06,3239880,3035008,3389576
1840000,1.33839e+06,1.23107e+06,1.48714e+06,3492243,3212842,3880774
1845000,1.31749e+06,1.19938e+06,1.58526e+06,3437437,3127878,4136860
1850000,1.32172e+06,1.2322e+06,1.50488e+06,3448472,3215910,3927700
1855000,1.31192e+06,1.17384e+06,1.43078e+06,3423016,3062610,3733510
1860000,1.37072e+06,1.22779e+06,1.5305e+06,3576468,3204290,3992734
1865000,1.36582e+06,1.23019e+06,1.569e+06,3563070,3208928,4093630
1870000,1.32731e+06,1.19261e+06,1.50864e+06,3462423,3112306,3936370
1875000,1.30365e+06,1.19967e+06,1.47497e+06,3401197,3128952,3847664
1880000,1.35884e+06,1.1809e+06,1.65313e+06,3544872,3080548,4311566
1885000,1.36296e+06,1.25735e+06,1.52579e+06,3556244,3281072,3981996
1890000,1.39261e+06,1.21787e+06,1.55789e+06,3633167,3177712,4062380
1895000,1.38374e+06,1.28229e+06,1.48638e+06,3610594,3346630,3878332
1900000,1.36181e+06,1.21427e+06,1.45232e+06,3553213,3169196,3789332
1905000,1.48293e+06,1.33552e+06,2.01239e+06,3869341,3485292,5250002
1910000,1.4218e+06,1.2708e+06,1.58084e+06,3709975,3316620,4122792
1915000,1.38166e+06,1.22457e+06,1.68685e+06,3604432,3195690,4400634
1920000,1.35468e+06,1.2285e+06,1.51433e+06,3534181,3205902,3950616
1925000,1.33646e+06,1.29045e+06,1.39623e+06,3486851,3367380,3643076
1930000,1.38398e+06,1.24668e+06,1.44512e+06,3611320,3253130,3771558
1935000,1.45795e+06,1.28968e+06,1.74462e+06,3803640,3365722,4552156
1940000,1.47254e+06,1.3016e+06,1.58658e+06,3842134,3395458,4140892
1945000,1.47226e+06,1.26108e+06,1.71745e+06,3840854,3290108,4481878
1950000,1.42513e+06,1.26652e+06,1.73147e+06,3718547,3304540,4518884
1955000,1.48882e+06,1.25898e+06,1.69615e+06,3884783,3284660,4426914
1960000,1.37931e+06,1.27516e+06,1.5097e+06,3598385,3325644,3939230
1965000,1.36351e+06,1.29288e+06,1.50361e+06,3557390,3372528,3923444
1970000,1.44474e+06,1.30593e+06,1.87508e+06,3770185,3407814,4894090
1975000,1.50089e+06,1.33099e+06,1.75602e+06,3915776,3473288,4581710
1980000,1.52595e+06,1.3482e+06,1.66507e+06,3981590,3518006,4343374
1985000,1.55124e+06,1.34559e+06,1.75858e+06,4046670,3510782,4587472
1990000,1.50204e+06,1.33508e+06,1.66776e+06,3919110,3482422,4352906
1995000,1.46962e+06,1.28732e+06,1.70324e+06,3834839,3359352,4443872
2000000,1.45343e+06,1.29343e+06,1.65553e+06,3792407,3375706,4319684
